word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
船舶垃圾,0.005637,0.198581,0.353225,0.080000,1.000000
部门编制,0.024647,0.270175,0.550296,0.126761,0.067961
国家经济,0.013488,0.296107,0.263350,0.097527,0.305709
部门进行,0.014961,0.257309,0.561775,0.126761,0.113703
管理措施,0.002702,0.314743,0.162183,0.387978,0.571429
记录档案,0.005471,0.297871,0.264919,0.121339,0.581818
禁止擅自,0.011253,0.257916,0.424866,0.082090,0.300000
状况调查,0.033778,0.052974,0.427376,0.233010,0.169492
煤炭经营,0.025230,0.447012,0.305780,0.114155,0.076427
编制全国,0.011094,0.436314,0.520602,0.067961,0.175279
资源状况,0.006359,0.302226,0.339437,0.196522,0.233010
能源统计,0.007661,0.513324,0.397666,0.099609,0.191223
农业综合,0.004437,0.297871,0.176613,0.193042,0.658537
电网企业,0.018886,0.425285,0.517689,0.009249,0.770950
移动机械,0.052288,0.038904,0.642542,0.225564,0.100204
恢复森林,0.003727,0.314743,0.162183,0.633333,0.244792
联合执法,0.004793,0.297871,0.353225,0.250941,0.231638
项目建设,0.005666,0.461091,0.410082,0.230769,0.117526
效果评估,0.041021,0.378558,0.231514,0.096257,0.082474
节约资源,0.019873,0.614224,0.192372,0.061776,0.196522
情况进行,0.022830,0.465326,0.305780,0.077093,0.113703
措施予以,0.005564,0.143361,0.339437,0.571429,0.178571
管理活动,0.004141,0.397162,0.143282,0.387978,0.301333
提供服务,0.010822,0.446807,0.353225,0.032258,0.492063
支持企业,0.004715,0.297871,0.353225,0.069565,0.770950
污染风险,0.099867,0.082572,0.248285,0.379630,0.033898
煤炭生产,0.017722,0.467367,0.351066,0.114155,0.079301
国家支持,0.034652,0.151738,0.735390,0.097527,0.069565
林业草原,0.057232,0.398522,0.393064,0.040678,0.071895
委员会主,0.024015,0.400798,0.200450,0.514658,0.026376
机构或者,0.018879,0.606975,0.563376,0.062372,0.064516
监测网络,0.012388,0.307561,0.229384,0.085799,0.345821
规定标准,0.011513,0.366668,0.239624,0.083333,0.307116
遵守国家,0.035314,0.371230,0.173673,0.115385,0.097527
规划应当,0.033101,0.786029,0.633661,0.304167,0.005085
系统建设,0.004548,0.297871,0.264919,0.603125,0.117526
依法保护,0.014163,0.513324,0.533733,0.077206,0.084531
国家禁止,0.012537,0.580239,0.432072,0.097527,0.082090
临时使用,0.018357,0.601102,0.306979,0.058394,0.127119
利用规划,0.040978,0.230913,0.451236,0.019162,0.304167
监测信息,0.008006,0.513324,0.316575,0.085799,0.221889
发展社会,0.007331,0.248550,0.221054,0.118442,0.518587
处理处置,0.011010,0.524572,0.427293,0.405738,0.024590
标准进行,0.007896,0.365860,0.243511,0.307116,0.113703
消毒处理,0.007869,0.447131,0.338795,0.050167,0.405738
审计机关,0.011567,0.452970,0.481354,0.128492,0.074642
垃圾或者,0.004709,0.297871,0.264919,1.000000,0.064516
农业教育,0.004853,0.297871,0.264919,0.193042,0.322511
使用符合,0.008548,0.330537,0.243511,0.127119,0.271605
草原监督,0.014761,0.614766,0.167016,0.071895,0.215976
防护措施,0.009579,0.397162,0.309072,0.034884,0.571429
医疗废物,0.023738,0.695033,0.573991,0.048810,0.050505
申请行政,0.028712,0.445710,0.149300,0.110656,0.108902
勘探报告,0.005421,0.297871,0.353225,0.388889,0.103659
促进资源,0.004662,0.161104,0.264919,0.586207,0.196522
资源规划,0.008097,0.171399,0.274925,0.196522,0.304167
审批部门,0.015171,0.554533,0.544843,0.039106,0.126761
草原保护,0.034234,0.804980,0.134952,0.071895,0.084531
依法申请,0.019909,0.481078,0.275328,0.077206,0.110656
应当依法,0.126016,0.595681,0.762185,0.005085,0.077206
预防控制,0.074909,0.027649,0.203681,0.104839,0.507246
森林防火,0.016504,0.614766,0.361959,0.244792,0.024917
实施监督,0.025177,0.647538,0.242437,0.026217,0.215976
气象设施,0.017127,0.559020,0.409004,0.102524,0.055690
有效措施,0.079822,0.117089,0.315819,0.013250,0.571429
产品或者,0.010704,0.480443,0.363613,0.184492,0.064516
排放检验,0.029315,0.516630,0.569033,0.029197,0.087766
任何组织,0.034321,0.407775,0.176372,0.014706,0.605114
或者企业,0.005392,0.302226,0.268792,0.064516,0.770950
地方标准,0.009362,0.428069,0.441532,0.040057,0.307116
技术政策,0.015214,0.260001,0.233514,0.497288,0.047352
社会力量,0.006250,0.381658,0.339437,0.518587,0.051429
环境辐射,0.001950,0.198581,0.176613,0.347826,0.904762
辐射环境,0.001950,0.198581,0.176613,0.904762,0.347826
鼓励企业,0.006345,0.272245,0.339437,0.047297,0.770950
审批机关,0.028343,0.437488,0.587650,0.039106,0.074642
第二十四,0.059993,0.239074,0.086347,0.193878,0.088156
污泥处理,0.010338,0.397162,0.336560,0.037037,0.405738
其他需要,0.021838,0.387793,0.489532,0.025641,0.194444
畜禽粪便,0.018316,0.525532,0.346331,0.068182,0.090909
长江保护,0.014483,0.650871,0.418311,0.061879,0.084531
需要使用,0.008577,0.330537,0.293971,0.194444,0.127119
材料或者,0.007364,0.314743,0.279924,0.489796,0.064516
的放射性,0.071964,0.773604,0.466710,0.016129,0.048544
占用耕地,0.019716,0.688623,0.451538,0.023392,0.140845
保护管理,0.007629,0.330537,0.243511,0.084531,0.387978
进行安全,0.010801,0.408841,0.363613,0.113703,0.109689
部门制定,0.104129,0.340351,0.539482,0.126761,0.008143
规划要求,0.008475,0.330537,0.325386,0.304167,0.070946
企业实施,0.011004,0.408841,0.216244,0.770950,0.026217
国家规划,0.008790,0.446807,0.168565,0.097527,0.304167
第二十八,0.068128,0.311431,0.056201,0.193878,0.084791
卫生执法,0.004418,0.397162,0.176613,0.271104,0.231638
环境造成,0.009661,0.496452,0.441532,0.347826,0.026119
投资项目,0.004883,0.198581,0.353225,0.242991,0.230769
总量控制,0.071851,0.569161,0.399501,0.002309,0.507246
受到污染,0.007604,0.447131,0.397666,0.037267,0.379630
部门按照,0.071559,0.380543,0.358154,0.126761,0.015385
审查批准,0.028037,0.249572,0.374618,0.122905,0.058824
自然恢复,0.006851,0.302226,0.242127,0.059345,0.633333
机关应当,0.177906,0.341676,0.813293,0.074642,0.005085
技术评价,0.004963,0.397162,0.264919,0.497288,0.072165
处理单位,0.005451,0.302226,0.339437,0.405738,0.082515
安全标准,0.012708,0.093134,0.467395,0.109689,0.307116
评估验收,0.021571,0.444012,0.394893,0.082474,0.059701
编制机关,0.027981,0.353456,0.371164,0.067961,0.074642
作业活动,0.011201,0.329196,0.333985,0.049630,0.301333
勘探开发,0.005284,0.161104,0.353225,0.388889,0.157262
各级人民,0.296405,0.364370,0.110827,0.006211,0.242506
重点污染,0.031458,0.660775,0.075277,0.030263,0.379630
部门审查,0.024969,0.181361,0.254765,0.126761,0.122905
开发规划,0.008096,0.117495,0.394893,0.157262,0.304167
资源消耗,0.011531,0.477714,0.380713,0.196522,0.043478
造林绿化,0.024223,0.710487,0.489994,0.018657,0.113281
广播喇叭,0.007084,0.161104,0.353225,0.094139,0.466667
诊断标准,0.003989,0.182356,0.279924,0.277778,0.307116
档案事业,0.004658,0.297871,0.264919,0.581818,0.080706
进行建设,0.008880,0.428069,0.336560,0.113703,0.117526
建筑施工,0.017019,0.601102,0.441478,0.063230,0.059585
措施减少,0.004945,0.297871,0.353225,0.571429,0.056738
进行捕捞,0.013967,0.485816,0.297676,0.113703,0.072727
措施控制,0.001620,0.198581,0.176613,0.571429,0.507246
处置措施,0.009906,0.378424,0.309072,0.024590,0.571429
农业保险,0.005588,0.461091,0.339437,0.193042,0.096365
垃圾填埋,0.017401,0.270261,0.127502,1.000000,0.027027
农业发展,0.005603,0.461091,0.268792,0.193042,0.118442
生态脆弱,0.016131,0.461091,0.268792,0.037634,0.210526
支持农业,0.010359,0.297871,0.380713,0.069565,0.193042
符合法定,0.043889,0.549358,0.188056,0.271605,0.012790
资源勘查,0.031164,0.109012,0.422731,0.196522,0.055556
规划或者,0.005090,0.381658,0.410082,0.304167,0.064516
不得擅自,0.018469,0.436816,0.404051,0.015945,0.300000
防治技术,0.011598,0.303927,0.333985,0.026578,0.497288
申请使用,0.007297,0.380937,0.397666,0.110656,0.127119
规划实施,0.009148,0.477714,0.441532,0.304167,0.026217
环境事件,0.012364,0.229714,0.410082,0.347826,0.037831
进行评估,0.011899,0.373325,0.363613,0.113703,0.082474
进行跟踪,0.007602,0.461091,0.268792,0.113703,0.140845
予以处理,0.005395,0.302226,0.127502,0.178571,0.405738
个人所有,0.006748,0.380937,0.257704,0.328042,0.069231
措施消除,0.009366,0.365860,0.325386,0.571429,0.023411
气象服务,0.003335,0.314743,0.279924,0.102524,0.492063
禁止生产,0.023877,0.589202,0.161456,0.082090,0.079301
使用草原,0.018427,0.450966,0.193376,0.127119,0.071895
规定使用,0.008717,0.359685,0.441532,0.083333,0.127119
依法承担,0.064886,0.343970,0.332691,0.077206,0.025478
应当及时,0.112274,0.557556,0.863450,0.005085,0.053097
规划许可,0.040663,0.450720,0.186462,0.304167,0.013986
机构负责,0.008608,0.444012,0.445354,0.062372,0.136364
根据全国,0.014209,0.406982,0.438302,0.032520,0.175279
综合评价,0.003450,0.314743,0.279924,0.658537,0.072165
其他企业,0.005628,0.381658,0.339437,0.025641,0.770950
禁止销售,0.006729,0.381658,0.339437,0.082090,0.200935
完成情况,0.022590,0.112498,0.525168,0.138889,0.077093
重点区域,0.036700,0.596296,0.452047,0.030263,0.047319
必须符合,0.033393,0.451336,0.359684,0.009569,0.271605
未经批准,0.044789,0.693391,0.464996,0.016556,0.058824
全国海洋,0.014108,0.565032,0.316124,0.175279,0.031822
改善环境,0.020363,0.206310,0.379093,0.025140,0.347826
需要建设,0.004329,0.397162,0.353225,0.194444,0.117526
档案机构,0.004832,0.297871,0.264919,0.581818,0.062372
执行职务,0.012709,0.183077,0.361427,0.282486,0.058140
节能工作,0.060456,0.239241,0.150242,0.050193,0.125909
部门会同,0.220218,0.335084,0.318435,0.126761,0.004587
行业组织,0.006705,0.182356,0.279924,0.065341,0.605114
处置设施,0.049827,0.434349,0.453394,0.024590,0.055690
届全国人,0.172295,0.624999,0.012196,0.361702,0.028241
设施或者,0.023074,0.424930,0.377922,0.055690,0.064516
提高农业,0.008823,0.228137,0.445354,0.076246,0.193042
符合标准,0.008740,0.171399,0.104497,0.271605,0.307116
损失或者,0.007457,0.248550,0.397666,0.273973,0.064516
生产或者,0.025527,0.398910,0.249237,0.079301,0.064516
其他活动,0.012824,0.349694,0.374759,0.025641,0.301333
统计部门,0.005781,0.381658,0.242127,0.191223,0.126761
依法执行,0.014578,0.162179,0.250489,0.077206,0.282486
环境资源,0.005408,0.272245,0.127502,0.347826,0.196522
方式进行,0.009785,0.428069,0.397378,0.067657,0.113703
或者违反,0.012540,0.389410,0.432072,0.064516,0.093333
健康教育,0.004063,0.182356,0.279924,0.189427,0.322511
迁徙洄游,0.009350,0.272245,0.127502,0.038961,1.000000
部门和国,0.019171,0.226396,0.092291,0.126761,0.248349
技术分析,0.005251,0.297871,0.264919,0.497288,0.060964
能力建设,0.007117,0.513324,0.257704,0.113281,0.117526
部门备案,0.074794,0.186185,0.259718,0.126761,0.027273
许可申请,0.074007,0.166720,0.654604,0.013986,0.110656
废物进行,0.012992,0.391551,0.426182,0.050505,0.113703
符合城市,0.004747,0.397162,0.143282,0.271605,0.169576
规定给予,0.015142,0.362412,0.474862,0.083333,0.057143
事委员会,0.034686,0.048115,0.609116,0.016393,0.744538
科学评估,0.008586,0.289759,0.316575,0.190844,0.082474
气象事业,0.007324,0.513324,0.397666,0.102524,0.080706
流域环境,0.009496,0.397162,0.248254,0.037829,0.347826
规定处理,0.004965,0.302226,0.242127,0.083333,0.405738
贮存设施,0.011968,0.303927,0.363613,0.166667,0.055690
人员履行,0.008205,0.273800,0.394893,0.047271,0.292683
可能造成,0.066995,0.846173,0.612694,0.013514,0.026119
处理措施,0.001507,0.198581,0.176613,0.405738,0.571429
单位负责,0.005748,0.461091,0.410082,0.082515,0.136364
规定缴纳,0.020926,0.418129,0.586925,0.083333,0.028571
企业执行,0.001599,0.198581,0.176613,0.770950,0.282486
森林火灾,0.012487,0.595743,0.485685,0.244792,0.013807
煤矿矿区,0.012083,0.497099,0.427293,0.136986,0.034483
疫情控制,0.006312,0.302226,0.268792,0.046154,0.507246
恢复执行,0.001911,0.198581,0.176613,0.633333,0.282486
第二十五,0.057105,0.216304,0.046327,0.193878,0.107335
其他形式,0.029632,0.295979,0.449733,0.025641,0.117647
编制环境,0.016586,0.435291,0.069099,0.067961,0.347826
循环使用,0.003054,0.182356,0.279924,0.594203,0.127119
资源利用,0.017757,0.500750,0.350616,0.196522,0.019162
状况信息,0.005310,0.297871,0.143282,0.233010,0.221889
合理利用,0.057133,0.603014,0.689625,0.025641,0.019162
或者环境,0.005067,0.381658,0.268792,0.064516,0.347826
部门确定,0.009180,0.257916,0.380713,0.126761,0.102041
能源资源,0.009891,0.257916,0.229384,0.099609,0.196522
企业违反,0.003116,0.314743,0.162183,0.770950,0.093333
发展目标,0.007354,0.248550,0.397666,0.118442,0.132743
规定办理,0.036342,0.347194,0.368949,0.083333,0.029412
可以依法,0.048030,0.623869,0.721121,0.006757,0.077206
再生产品,0.005873,0.381658,0.268792,0.101215,0.184492
改进措施,0.007084,0.447131,0.316575,0.019553,0.571429
机关批准,0.023063,0.363179,0.302145,0.074642,0.058824
流域管理,0.060750,0.455991,0.027153,0.037829,0.387978
设备或者,0.009385,0.210750,0.353225,0.244552,0.064516
报告或者,0.008303,0.444012,0.445354,0.103659,0.064516
产品加工,0.014296,0.171943,0.424578,0.184492,0.056990
或者采取,0.038470,0.654613,0.411222,0.064516,0.016393
个人使用,0.005389,0.143361,0.339437,0.328042,0.127119
监测结果,0.017590,0.500832,0.403411,0.085799,0.035714
计算罚款,0.013063,0.196809,0.270304,0.127306,0.122449
标准体系,0.007310,0.513324,0.316575,0.307116,0.029656
处理或者,0.003897,0.397162,0.264919,0.405738,0.064516
社会管理,0.001514,0.198581,0.176613,0.518587,0.387978
